Latitude,Longitude,Cafes,Colleges,Schools,Offices,Cluster,Opportunity_Score
21.16000000000001,79.09000000000002,1,6,10,6,3,50
21.190000000000015,79.05,2,2,1,15,0,50
21.120000000000005,79.05,12,5,11,14,2,49
21.15000000000001,79.10000000000002,0,3,10,6,0,40
21.190000000000015,79.06,1,2,0,11,0,39
21.190000000000015,79.07000000000001,0,2,0,10,0,38
21.180000000000014,79.08000000000001,1,1,3,10,0,35
21.15000000000001,79.11000000000003,0,3,9,4,0,33
21.170000000000012,79.09000000000002,1,3,10,3,0,29
21.1,79.11000000000003,0,2,13,2,0,27
21.1,79.12000000000003,0,1,9,4,0,25
21.120000000000005,79.13000000000004,1,1,5,6,0,25
21.1,79.10000000000002,0,2,11,2,0,25
21.16000000000001,79.10000000000002,0,2,6,2,0,20
21.130000000000006,79.13000000000004,1,3,4,2,0,20
21.15000000000001,79.12000000000003,0,1,6,3,0,19
21.110000000000003,79.13000000000004,0,0,3,5,0,18
21.1,79.13000000000004,0,0,5,4,0,17
21.1,79.09000000000002,0,1,3,3,0,16
21.170000000000012,79.12000000000003,0,1,1,3,0,14
21.120000000000005,79.14000000000004,0,0,2,4,0,14
21.110000000000003,79.14000000000004,0,0,2,4,0,14
21.140000000000008,79.13000000000004,1,1,5,2,0,13
21.16000000000001,79.11000000000003,0,2,4,0,0,12
21.170000000000012,79.10000000000002,0,2,3,0,0,11
21.180000000000014,79.11000000000003,0,1,0,2,0,10
21.180000000000014,79.10000000000002,0,1,0,2,0,10
21.180000000000014,79.09000000000002,1,0,3,3,0,10
21.170000000000012,79.13000000000004,0,0,1,3,0,10
21.16000000000001,79.12000000000003,0,1,2,1,0,9
21.180000000000014,79.13000000000004,0,0,0,3,0,9
21.1,79.14000000000004,0,0,0,3,0,9
21.1,79.15000000000005,0,0,0,3,0,9
21.130000000000006,79.14000000000004,0,0,3,2,0,9
21.110000000000003,79.15000000000005,0,0,0,3,0,9
21.190000000000015,79.09000000000002,0,0,0,3,0,9
21.190000000000015,79.08000000000001,0,0,0,3,0,9
21.170000000000012,79.11000000000003,0,1,2,1,0,9
21.180000000000014,79.14000000000004,0,0,0,3,0,9
21.15000000000001,79.13000000000004,0,0,3,2,0,9
21.190000000000015,79.12000000000003,0,0,0,2,0,6
21.190000000000015,79.11000000000003,0,0,0,2,0,6
21.140000000000008,79.14000000000004,0,0,3,1,0,6
21.190000000000015,79.13000000000004,0,0,0,2,0,6
21.180000000000014,79.12000000000003,0,0,0,2,0,6
21.15000000000001,79.15000000000005,0,0,1,1,0,4
21.15000000000001,79.14000000000004,0,0,1,1,0,4
21.16000000000001,79.13000000000004,0,0,1,1,0,4
21.130000000000006,79.15000000000005,0,0,3,0,0,3
21.16000000000001,79.15000000000005,0,0,0,1,0,3
21.140000000000008,79.15000000000005,0,0,3,0,0,3
21.190000000000015,79.14000000000004,0,0,0,1,0,3
21.16000000000001,79.14000000000004,0,0,0,1,0,3
21.170000000000012,79.15000000000005,0,0,0,1,0,3
21.170000000000012,79.14000000000004,0,0,0,1,0,3
21.120000000000005,79.15000000000005,0,0,0,0,0,0
21.180000000000014,79.15000000000005,0,0,0,0,0,0
21.190000000000015,79.10000000000002,0,0,0,0,0,0
21.190000000000015,79.15000000000005,0,0,0,0,0,0
